,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Rick Adelman\adelmri01,1975,1975,1,28,613,67,159,,,41,59,13,55,69,47,6,,58,175,.421,,.695,21.9,6.3,2.0,2.5
2,Blake Ahearn\ahearbl01,2012,2012,1,4,30,4,14,2,9,0,0,0,2,1,0,0,5,4,10,.286,.222,,7.5,2.5,0.5,0.3
3,Grayson Allen\allengr01,2019,2019,1,2,15,2,5,1,3,2,2,0,0,0,0,0,0,2,7,.400,.333,1.000,7.5,3.5,0.0,0.0
4,Morris Almond\almonmo01,2008,2009,2,34,294,37,96,6,21,25,32,9,38,10,5,4,18,36,105,.385,.286,.781,8.6,3.1,1.1,0.3
5,John Amaechi\amaecjo01,2002,2003,2,104,1060,91,284,0,0,92,157,78,186,50,21,17,89,114,274,.320,,.586,10.2,2.6,1.8,0.5
6,Lou Amundson\amundlo01,2007,2007,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0
7,J.J. Anderson\anderjj01,1983,1985,3,144,1922,298,636,0,8,138,246,182,427,109,106,39,126,245,734,.469,.000,.561,13.3,5.1,3.0,0.8
8,Shandon Anderson\andersh01,1997,1999,3,197,3740,578,1181,45,120,293,409,187,538,194,132,36,230,347,1494,.489,.375,.716,19.0,7.6,2.7,1.0
9,Rafael Araujo\araujra01,2007,2007,1,28,248,27,65,0,0,18,29,22,66,10,6,2,17,39,72,.415,,.621,8.9,2.6,2.4,0.4
10,Carlos Arroyo\arroyca01,2003,2005,3,145,3037,482,1109,48,142,252,310,63,257,560,95,9,241,260,1264,.435,.338,.813,20.9,8.7,1.8,3.9
11,Isaac Austin\austiis01,1992,1993,2,77,418,71,158,0,1,48,74,49,114,11,10,16,31,80,190,.449,.000,.649,5.4,2.5,1.5,0.1
12,Anthony Avent\aventan01,1999,1999,1,5,44,4,13,0,0,1,2,8,12,1,2,0,7,6,9,.308,,.500,8.8,1.8,2.4,0.2
13,Gus Bailey\bailegu01,1978,1979,2,50,458,61,146,,,37,67,46,84,42,18,15,34,47,159,.418,,.552,9.2,3.2,1.7,0.8
14,Thurl Bailey\baileth01,1984,1999,10,708,20523,3989,8420,4,32,1915,2357,1086,3881,1124,365,879,1239,1533,9897,.474,.125,.812,29.0,14.0,5.5,1.6
15,Jim Barnett\barneji02,1975,1975,1,45,1238,215,480,,,156,188,45,128,137,35,16,,109,586,.448,,.830,27.5,13.0,2.8,3.0
16,Ron Behagen\behagro01,1976,1977,2,126,2903,521,1200,,,234,305,334,984,222,108,45,,388,1276,.434,,.767,23.0,10.1,7.8,1.8
